Waktu,X (g),Y (g),Z (g),Getaran (g)
2024-12-04T09:47:53,5.2,5.56,6.6,10.07
2024-12-04T09:47:53,5.18,5.54,6.52,10
2024-12-04T09:47:54,5.16,5.47,6.53,9.97
2024-12-04T09:47:54,5.26,5.47,6.7,10.12
2024-12-04T09:47:54,4.94,5.83,6.53,10.05
2024-12-04T09:47:54,5.05,5.7,6.63,10.1
2024-12-04T09:47:54,5.12,5.8,6.5,10.1
2024-12-04T09:47:54,5.25,5.54,6.66,10.13
2024-12-04T09:47:54,5.39,5.67,6.52,10.18
2024-12-04T09:47:54,5.29,5.56,6.74,10.22
2024-12-04T09:47:54,5.34,5.51,6.73,10.21
2024-12-04T09:47:54,5.07,5.62,6.45,9.94
2024-12-04T09:47:54,5.15,5.85,6.44,10.11
2024-12-04T09:47:55,5.16,5.54,6.61,10.06
2024-12-04T09:47:55,5.25,5.7,6.44,10.07
2024-12-04T09:47:55,5.26,5.67,6.52,10.11
2024-12-04T09:47:55,5.25,5.67,6.61,10.17
2024-12-04T09:47:55,5.25,5.62,6.53,10.09
2024-12-04T09:47:55,5.26,5.56,6.48,10.03
2024-12-04T09:47:55,5.31,5.57,6.63,10.16
2024-12-04T09:47:55,5.05,5.44,6.48,9.86
2024-12-04T09:47:55,5.05,5.57,6.58,9.99
2024-12-04T09:47:55,5.23,5.57,6.61,10.11
2024-12-04T09:47:55,5.25,5.51,6.68,10.12
2024-12-04T09:47:55,5.18,5.51,6.57,10.01
2024-12-04T09:47:55,5.2,5.54,6.58,10.05
2024-12-04T09:47:56,5.12,5.59,6.4,9.92
2024-12-04T09:47:56,5.16,5.59,6.47,9.99
2024-12-04T09:47:56,5.15,5.57,6.57,10.03
2024-12-04T09:47:56,5.07,5.69,6.6,10.08
2024-12-04T09:47:56,5.13,5.6,6.52,10.01
2024-12-04T09:47:56,5.08,5.57,6.53,9.98
2024-12-04T09:47:56,5.33,5.6,6.57,10.14
2024-12-04T09:47:56,5.23,5.7,6.53,10.13
2024-12-04T09:47:56,5.29,5.65,6.45,10.08
2024-12-04T09:47:56,5.16,5.6,6.52,10.03
2024-12-04T09:47:56,5.21,5.62,6.52,10.06
2024-12-04T09:47:56,5.2,5.62,6.52,10.05
2024-12-04T09:47:56,5.2,5.69,6.47,10.06
2024-12-04T09:47:57,5.16,5.73,6.5,10.09
2024-12-04T09:47:57,5.2,5.73,6.57,10.15
2024-12-04T09:47:57,5.26,5.9,6.45,10.2
2024-12-04T09:47:57,5.47,5.62,6.48,10.18
2024-12-04T09:47:57,5.31,5.67,6.34,10.03
2024-12-04T09:47:57,5.21,5.88,6.45,10.17
2024-12-04T09:47:57,5.31,6,6.53,10.34
2024-12-04T09:47:57,5.54,6.06,6.66,10.57
